CCTV,#genre#
湖南卫视,http://43.152.25.217:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/hunanHD/__op/default/__f/index.m3u8#http://www.tk1986.top:8889/udp/239.76.245.115:1234
莲花卫视,http://1033946631.cloudvdn.com/a.m3u8?domain=live-
西藏卫视,http://43.152.25.217:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/xizangSD/__op/default/__f/index.m3u8
贵州卫视,http://43.152.25.217:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/guizhouHD/__op/default/__f/index.m3u8
辽宁卫视,http://43.152.25.217:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/liaoningHD/__op/default/__f/index.m3u8
重庆卫视,http://43.152.25.217:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/chongqingHD/__op/default/__f/index.m3u8
青海卫视,http://43.152.25.217:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/qinghaiSD/__op/default/__f/index.m3u8
黑龙江卫视,http://43.152.25.217:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/heilongjiangHD/__op/default/__f/index.m3u8
北京卫视,http://61.163.58.168:2024/fhtvxf.php?id=北京卫视
东方卫视,http://61.163.58.168:2024/fhtvxf.php?id=东方卫视
湖南卫视,http://61.163.58.168:2024/fhtvxf.php?id=湖南卫视
浙江卫视,http://61.163.58.168:2024/fhtvxf.php?id=浙江卫视
江苏卫视,http://61.163.58.168:2024/fhtvxf.php?id=江苏卫视
广东卫视,http://61.163.58.168:2024/fhtvxf.php?id=广东卫视
山东卫视,http://61.163.58.168:2024/fhtvxf.php?id=山东卫视
东南卫视,http://61.163.58.168:2024/fhtvxf.php?id=东南卫视
深圳卫视,http://61.163.58.168:2024/fhtvxf.php?id=深圳卫视
安徽卫视,http://61.163.58.168:2024/fhtvxf.php?id=安徽卫视
湖北卫视,http://61.163.58.168:2024/fhtvxf.php?id=湖北卫视
河北卫视,http://61.163.58.168:2024/fhtvxf.php?id=河北卫视
河南卫视,http://61.163.58.168:2024/fhtvxf.php?id=河南卫视
四川卫视,http://61.163.58.168:2024/fhtvxf.php?id=四川卫视
天津卫视,http://61.163.58.168:2024/fhtvxf.php?id=天津卫视
重庆卫视,http://61.163.58.168:2024/fhtvxf.php?id=重庆卫视
海南卫视,http://61.163.58.168:2024/fhtvxf.php?id=海南卫视
辽宁卫视,http://61.163.58.168:2024/fhtvxf.php?id=辽宁卫视
黑龙江卫视,http://61.163.58.168:2024/fhtvxf.php?id=黑龙江卫视
吉林卫视,http://61.163.58.168:2024/fhtvxf.php?id=吉林卫视
山西卫视,http://61.163.58.168:2024/fhtvxf.php?id=山西卫视
陕西卫视,http://61.163.58.168:2024/fhtvxf.php?id=陕西卫视
广西卫视,http://61.163.58.168:2024/fhtvxf.php?id=广西卫视
江西卫视,http://61.163.58.168:2024/fhtvxf.php?id=江西卫视
贵州卫视,http://61.163.58.168:2024/fhtvxf.php?id=贵州卫视
云南卫视,http://61.163.58.168:2024/fhtvxf.php?id=云南卫视
甘肃卫视,http://61.163.58.168:2024/fhtvxf.php?id=甘肃卫视
宁夏卫视,http://61.163.58.168:2024/fhtvxf.php?id=宁夏卫视
青海卫视,http://61.163.58.168:2024/fhtvxf.php?id=青海卫视
内蒙古卫视,http://61.163.58.168:2024/fhtvxf.php?id=内蒙古卫视
新疆卫视,http://61.163.58.168:2024/fhtvxf.php?id=新疆卫视
西藏卫视,http://61.163.58.168:2024/fhtvxf.php?id=西藏卫视
中国教育1,http://61.163.58.168:2024/fhtvxf.php?id=中国教育1
中国教育2,http://61.163.58.168:2024/fhtvxf.php?id=中国教育2
中国教育4,http://61.163.58.168:2024/fhtvxf.php?id=中国教育4
山东教育,http://61.163.58.168:2024/fhtvxf.php?id=山东教育
嘉佳卡通,http://61.163.58.168:2024/fhtvxf.php?id=嘉佳卡通
哈哈炫动,http://61.163.58.168:2024/fhtvxf.php?id=哈哈炫动
卡酷少儿,http://61.163.58.168:2024/fhtvxf.php?id=卡酷少儿
优漫卡通,http://61.163.58.168:2024/fhtvxf.php?id=优漫卡通
金鹰卡通,http://61.163.58.168:2024/fhtvxf.php?id=金鹰卡通
东方卫视,http://39.164.160.249:9901/tsfile/live/0107_1.m3u8
云南卫视,http://39.164.160.249:9901/tsfile/live/0119_1.m3u8
河北卫视,http://39.164.160.249:9901/tsfile/live/0117_1.m3u8
新疆卫视,http://39.164.160.249:9901/tsfile/live/0110_1.m3u8
江苏卫视,http://39.164.160.249:9901/tsfile/live/0127_1.m3u8
辽宁卫视,http://39.164.160.249:9901/tsfile/live/0121_1.m3u8
广东卫视,http://39.164.160.249:9901/tsfile/live/0125_1.m3u8
北京卫视,http://39.164.160.249:9901/tsfile/live/0122_1.m3u8
贵州卫视,http://39.164.160.249:9901/tsfile/live/0120_1.m3u8
湖南卫视,http://39.164.160.249:9901/tsfile/live/0128_1.m3u8
安徽卫视,http://39.164.160.249:9901/tsfile/live/0130_1.m3u8
山东卫视,http://39.164.160.249:9901/tsfile/live/0131_1.m3u8
江西卫视,http://39.164.160.249:9901/tsfile/live/0138_1.m3u8
河南卫视,http://39.164.160.249:9901/tsfile/live/0139_1.m3u8
陕西卫视,http://39.164.160.249:9901/tsfile/live/0136_1.m3u8
黑龙江卫视,http://39.164.160.249:9901/tsfile/live/0143_1.m3u8
北京卫视,http://1.70.249.236:4000/udp/239.1.1.41:8041
天津卫视,http://1.70.249.236:4000/udp/239.1.1.46:8046
东方卫视,http://1.70.249.236:4000/udp/239.1.1.31:8031
东南卫视,http://1.70.249.236:4000/udp/239.1.1.33:8033
广东卫视,http://1.70.249.236:4000/udp/239.1.1.49:8049
广西卫视,http://1.70.249.236:4000/udp/239.1.1.40:8040
深圳卫视,http://1.70.249.236:4000/udp/239.1.1.39:8039
江苏卫视,http://1.70.249.236:4000/udp/239.1.1.35:8035
江西卫视,http://1.70.249.236:4000/udp/239.1.1.52:8052
浙江卫视,http://1.70.249.236:4000/udp/239.1.1.38:8038
湖南卫视,http://1.70.249.236:4000/udp/239.1.1.28:8028
湖北卫视,http://1.70.249.236:4000/udp/239.1.1.32:8032
安徽卫视,http://1.70.249.236:4000/udp/239.1.1.44:8044
山东卫视,http://1.70.249.236:4000/udp/239.1.1.47:8047
山西卫视,http://1.70.249.236:4000/udp/239.1.1.1:8001
河南卫视,http://1.70.249.236:4000/udp/239.1.1.34:8034
河北卫视,http://1.70.249.236:4000/udp/239.1.1.48:8048
龙江卫视,http://1.70.249.236:4000/udp/239.1.1.37:8037
吉林卫视,http://1.70.249.236:4000/udp/239.1.1.30:8030
辽宁卫视,http://1.70.249.236:4000/udp/239.1.1.42:8042
贵州卫视,http://1.70.249.236:4000/udp/239.1.1.43:8043
四川卫视,http://1.70.249.236:4000/udp/239.1.1.29:8029
重庆卫视,http://1.70.249.236:4000/udp/239.1.1.36:8036
三沙卫视,http://222.218.122.23:8188/udp/239.81.0.242:4056
东南卫视,http://27.46.125.230:808/hls/49/index.m3u8
东方卫视,http://27.46.125.230:808/hls/34/index.m3u8
云南卫视,http://222.218.122.23:8188/udp/239.81.0.45:4056#http://27.46.125.230:808/hls/46/index.m3u8
兵团卫视,http://222.218.122.23:8188/udp/239.81.0.213:4056
北京卫视,http://106.53.99.30/tv/api.php?id=bjws4k#http://27.46.125.230:808/hls/36/index.m3u8#http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226719/1.m3u8
四川卫视,http://222.218.122.23:8188/udp/239.81.0.130:4056#http://27.46.125.230:808/hls/44/index.m3u8
天津卫视,http://27.46.125.230:808/hls/37/index.m3u8
宁夏卫视,http://222.218.122.23:8188/udp/239.81.0.60:4056
安徽卫视,http://27.46.125.230:808/hls/35/index.m3u8
山东卫视,http://27.46.125.230:808/hls/38/index.m3u8
广东卫视,http://106.53.99.30/tv/api.php?id=gdws#http://106.53.99.30/tv/api.php?id=gdws4k#http://27.46.125.230:808/hls/19/index.m3u8#http://39.164.174.139:5000/nl.m3u8?id=GDWSHD#http://8.138.7.223/tv/api.php?id=gdws4k
新疆卫视,http://222.218.122.23:8188/udp/239.81.0.46:4056
江苏卫视,http://27.46.125.230:808/hls/32/index.m3u8
江西卫视,http://27.46.125.230:808/hls/39/index.m3u8
河北卫视,http://27.46.125.230:808/hls/48/index.m3u8
河南卫视,http://27.46.125.230:808/hls/45/index.m3u8
浙江卫视,http://27.46.125.230:808/hls/31/index.m3u8#http://8.138.7.223/tv/api.php?id=zjws
深圳卫视,http://27.46.125.230:808/hls/33/index.m3u8#http://39.164.174.139:5000/nl.m3u8?id=SZWSHD
湖北卫视,http://27.46.125.230:808/hls/40/index.m3u8
湖南卫视,http://27.46.125.230:808/hls/30/index.m3u8
甘肃卫视,http://222.218.122.23:8188/udp/239.81.0.207:4056
莲花卫视,http://1033946631.cloudvdn.com/a.m3u8?domain=live-
西藏卫视,http://222.218.122.23:8188/udp/239.81.0.55:4056
贵州卫视,http://222.218.122.23:8188/udp/239.81.0.95:4056#http://27.46.125.230:808/hls/43/index.m3u8
重庆卫视,http://222.218.122.23:8188/udp/239.81.0.47:4056#http://27.46.125.230:808/hls/47/index.m3u8
陕西卫视,http://222.218.122.23:8188/udp/239.81.0.89:4056
青海卫视,http://222.218.122.23:8188/udp/239.81.0.53:4056
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
黑龙江卫视,http://27.46.125.230:808/hls/42/index.m3u8
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
NHK World,https://cdn.skygo.mn/live/disk1/NHK_World_Premium/HLSv3-FTA/NHK_World_Premium.m3u8
卡酷少儿,http://222.218.122.23:8188/udp/239.81.0.62:4056
嘉佳卡通,http://222.218.122.23:8188/udp/239.81.0.64:4056
金鹰卡通,http://222.218.122.23:8188/udp/239.81.0.61:4056
全民乒乓,http://8.138.7.223/tv/migu3.php?id=qmpp
咪咕24小时体育,http://8.138.7.223/tv/migu3.php?id=mg24hty
魅力足球,http://43.152.25.217:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/mlzqHD/__op/default/__f/index.m3u8
CHC高清电影,http://43.152.25.217:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/chcgqdyHD/__op/default/__f/index.m3u8
Film Now,https://fox-foxnewsnow-vizio.amagi.tv/playlist.m3u8
亚洲卫视,https://pull-hsbj.vzan.com/v/slowlive_821481626725612419.flv
军事迷必看大片,http://8.138.7.223/tv/migu3.php?id=jsdp
华丽2,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
印度NDTV,https://ndtv24x7elemarchana.akamaized.net/hls/live/2003678/ndtv24x7/master.m3u8
台湾Plus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
摄影,http://43.152.25.217:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/sheying/__op/default/__f/index.m3u8
教育卫视,http://43.152.25.217:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/sdjiaoyuSD/__op/default/__f/index.m3u8
朝鲜中央台,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
湖南电影,http://www.tk1986.top:8889/udp/239.76.245.119:1234
经典深圳旁边电影,http://8.138.7.223/tv/migu3.php?id=jdxgdy
美亞電影台[TW],https://stream1.freetv.fun/d15c5838988c27c64bfa4f614c93fd2ea93c75180230bd8ffc7572622051fab9.m3u8
重庆少儿高清,http://43.152.25.217:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/cqseHD/__op/default/__f/index.m3u8
重庆新闻高清,http://43.152.25.217:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/CQTVNewsHD/__op/default/__f/index.m3u8
重庆科教高清,http://43.152.25.217:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/CQTVkejiaoHD/__op/default/__f/index.m3u8


4K,#genre#
深圳卫视4K,https://livepull-tcms.sztv.com.cn:443/live/sz4Kpgm.m3u8
深圳卫视4K,http://ikuai.haleeyo.cn:9003/udp/239.77.1.14:5146
深圳卫视4K,http://27.184.29.189:4022/rtp/239.254.201.68:6000
广东卫视4K,http://vvip.lqcc.xyz:8092/stream/channelid/1248069700?auth=PrI5LXwb51dYilt30TvNYVVAgd4A&profile=pass
广东卫视4K,http://ikuai.haleeyo.cn:9003/udp/239.77.0.27:5146
广东卫视4K,http://119.32.12.12:2901/udp/225.1.101.86:7523
广东卫视4K,http://27.184.29.189:4022/rtp/239.254.200.187:6000
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
河北电视4K,https://event.pull.hebtv.com:443/live/live101.m3u8
法国时尚台4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
河北电视4K,http://106.53.99.30/tv/api.php?id=hebtv4k
苏州修复4K,http://106.53.99.30/tv/api.php?id=sztv4k



经典电影,#genre#
极速经典电影1,http://tc-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?wsAuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
极速经典电影2,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=2ccc7b4ba29208aaba62dae54cbbd68c&token=cpn-androidmpro-0-20415-b6774b3b3249db17fff84d73c7585c95e780dbccdb08e4bc&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
极速经典电影3,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsAuth=7d054e041804e80af8aa7e975e2d8573&token=cpn-androidmpro-0-85894-a3575d938a4aa309c687f5fb85a1009fc65cfbeeb2672310&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla
龙华戏剧台,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
龙华经典台,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华电影台,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
影迷數位電影台,http://api.mytv666.top/api/hk.php?id=6131303635353630643437386336346438346661633562366261343764303839267469643d74762669643d313233
AMC电影台,http://api.mytv666.top/api/hk.php?id=6533613534396538393766353437626463616663386263386337376463366664267469643d74762669643d313234



港澳极速,#genre#
8TV,http://s1.an94tv.cfd/astro/8tv/AKTV.m3u8
Animax (HK),http://s1.an94tv.cfd/aktv/animaxhk/AKTV.m3u8
myTV SUPER 18台,http://bxtv.3a.ink/api.php?id=18
BBC新闻,http://api.mytv666.top/api/hk.php?id=3439633964653730363063316234363066326666323662626530393932643061267469643d74762669643d3934
BBC新闻,http://api.mytv666.top/api/hk.php?id=6439336265303632383566343461326233393961613861353532633231323266267469643d77696e74763132332669643d313039
CBC News,https://bcovlive-a.akamaihd.net/re8d9f611ee4a490a9bb59e52db91414d/us-east-1/734546207001/playlist.m3u8
CNN新闻,http://api.mytv666.top/api/hk.php?id=3561323535353230366331396166326338366665396463653732633764663332267469643d77696e74763132332669643d313038
CNN新闻,http://api.mytv666.top/api/hk.php?id=3939326166333362313632333064666138616239666138303238373763636636267469643d74762669643d3933
CHC华诚影视,http://120.76.248.139/live/bfgd/4200000289.m3u8
DAZN 1,http://api.mytv666.top/api/hk.php?id=6538623163353532633730323639656261623566373466303666663231626464267469643d74762669643d3830
DAZN 1,http://api.mytv666.top/api/hk.php?id=3366366163306530383161323938613236396265353732323439646338386463267469643d77696e74763132332669643d3832
DAZN 2,http://api.mytv666.top/api/hk.php?id=3238313039396131333831376564343766643936376637643132333763656334267469643d74762669643d3831
DAZN 2,http://api.mytv666.top/api/hk.php?id=3133333365353137306366656266346234663337626537306438613139366234267469643d77696e74763132332669643d3833
Discovery,http://api.mytv666.top/api/hk.php?id=3136386361626565666132623631313664353563353234303965343739353437267469643d77696e74763132332669643d313133
Discovery,http://api.mytv666.top/api/hk.php?id=3531653631373237666331323161623264633762346463363734623433303237267469643d74762669643d3935
FOX新聞,http://api.mytv666.top/api/hk.php?id=3235346463643265363264313532353732653563336239333764633039393761267469643d77696e74763132332669643d313037
FOX新聞,http://api.mytv666.top/api/hk.php?id=6238636333303430353139636132346537353732393263386363306238613566267469643d74762669643d3932
GinxTV,http://api.mytv666.top/api/hk.php?id=6535383532333535373462306237656133323063613337336366323139633166267469643d74762669643d313936
HBO HD,http://api.mytv666.top/api/hk.php?id=3039623438623762383530346238303235643436376164373232633135316237267469643d77696e74763132332669643d313034
HBO HD,http://bxtv.3a.ink/api.php?id=hbo
HBO HD,http://api.mytv666.top/api/hk.php?id=3938383431396139316232633936396630656331623839303564373336643262267469643d74762669643d3930
HOY TV,http://api.mytv666.top/api/hk.php?id=3363613361353930343765376664626230343135323066643833303864633037267469643d77696e74763132332669643d3337
HOY TV,http://api.mytv666.top/api/hk.php?id=3861653835393966663939393434646663323366326630316438316232623939267469643d74762669643d3433
HOY TV,http://api.mytv666.top/api/hk.php?id=3861653835393966663939393434646663323366326630316438316232623939267469643d74762669643d3433
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOY77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
HOY78,http://api.mytv666.top/api/hk.php?id=3432323435666131343964353936633530396335663430623762353532623439267469643d74762669643d3239
HOY76,http://api.mytv666.top/api/hk.php?id=3361386235376664363161336266633233643533366564313661313737346630267469643d77696e74763132332669643d3336
HOY76,http://api.mytv666.top/api/hk.php?id=3361386235376664363161336266633233643533366564313661313737346630267469643d77696e74763132332669643d3336
HOY76,http://api.mytv666.top/api/hk.php?id=6566353737646133643130376364373766366364666231333932636266353434267469643d74762669643d3431
HOY78,http://api.mytv666.top/api/hk.php?id=3036613663316638306536306134313638356161316134316465636662356435267469643d74762669643d3432
HOY78,http://api.mytv666.top/api/hk.php?id=3730346462313931396337363365323339383532646232633966303331633463267469643d77696e74763132332669643d3338
HOY78,https://smart.pendy.dpdns.org/Smart.php?id=hoycaijing_twn
HOY78,http://api.mytv666.top/api/hk.php?id=3432323435666131343964353936633530396335663430623762353532623439267469643d74762669643d3239
HOY78,http://api.mytv666.top/api/hk.php?id=6361643536323038326566646537653763653734396561333762376462636366267469643d77696e74763132332669643d36
HOY78,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_hoy78.flv
HOY78,https://haoyunlai.serv00.net/Smartv-1.php?id=hoycaijing_twn
HOY78,http://api.mytv666.top/api/hk.php?id=3432323435666131343964353936633530396335663430623762353532623439267469643d74762669643d3239
HOY78,http://api.mytv666.top/api/hk.php?id=6361643536323038326566646537653763653734396561333762376462636366267469643d77696e74763132332669643d36
MEZZO LIVE,http://api.mytv666.top/api/hk.php?id=6337376162663362623736626239333832343737666464333931646364623062267469643d74762669643d313934
MOMO综合台,http://api.mytv666.top/api/hk.php?id=6534356461633961306339376166393737383630616335393438323139666238267469643d77696e74763132332669643d3934
NHK World Premium 日本,https://cdn.skygo.mn/live/disk1/NHK_World_Premium/HLSv3-FTA/NHK_World_Premium.m3u8
NOW财经台,http://api.mytv666.top/api/hk.php?id=3464396265323334356563633339626432333161343230393366636639326165267469643d74762669643d3337
NOW财经台,http://api.mytv666.top/api/hk.php?id=3661316466353339303037343231613961326631373132343166326638666563267469643d77696e74763132332669643d3332
NOW新闻台,http://api.mytv666.top/api/hk.php?id=3031623934646639653139313537643561326432643463343838643631316161267469643d77696e74763132332669643d3331
NOW新闻台,http://api.mytv666.top/api/hk.php?id=3861666539393633313665393630366237386632616666343339393737373837267469643d74762669643d3336
NOW新闻台,http://bxtv.3a.ink/api.php?id=now
NOW直播台,http://api.mytv666.top/api/hk.php?id=3763373566376465616263356362313264316538373738396430313363656137267469643d77696e74763132332669643d3330
NOW直播台,http://api.mytv666.top/api/hk.php?id=6636373032643161656535316162363136663334353964363265613064346462267469643d74762669643d3335
NewTV超级电影 ,https://cloudvideo.servers10.com:8081/8130/index.m3u8
PopC,http://s1.an94tv.cfd/aktv/popc/AKTV.m3u8
Sky Sports F1,http://s1.an94tv.cfd/aktv2/skysportsf1/AKTV.m3u8
Smart知识台,http://api.mytv666.top/api/hk.php?id=6661353865643032303666663930396536363238356635333236646561323230267469643d74762669643d313832
TRACE SPORTS STARS,http://api.mytv666.top/api/hk.php?id=6363666635636636363761616133303232626634663034373261333634656532267469643d74762669643d313530
TRACE URBAN,http://api.mytv666.top/api/hk.php?id=3763363134386234363661313032356535343065616461326236356664386638267469643d74762669643d313933
TVB Plus,http://api.mytv666.top/api/hk.php?id=3639623039646236316664356637656639306231623831633232376366353164267469643d77696e74763132332669643d3233
TVB Plus,http://api.mytv666.top/api/hk.php?id=3639643231333366353439326662633736356531346434363133643465663039267469643d74762669643d3236
TVB Plus,https://live.tvfix.org/live/tvbplus/index.m3u8
TVB Plus,http://bxtv.3a.ink/api.php?id=tvbp
TVB Plus,http://api.mytv666.top/api/hk.php?id=3639643231333366353439326662633736356531346434363133643465663039267469643d74762669643d3236
TVBS HD,http://api.mytv666.top/api/hk.php?id=3266393834623966663864373438353433313662666237356336646262653465267469643d74762669643d3937
TVBS HD,http://api.mytv666.top/api/hk.php?id=3530393233353135316139356235363965653137653863353561653864336263267469643d77696e74763132332669643d3730
TVBS HD,http://api.mytv666.top/api/hk.php?id=6338353765393031313964363830396232336564343339356139653361633532267469643d74762669643d3635
TVBS HD,http://s1.an94tv.cfd/taiwan/tvbs/AKTV.m3u8
TVBS HD,https://smart.pendy.dpdns.org/Smart.php?id=tvbs
TVBSNEWS,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS欢乐台,http://api.mytv666.top/api/hk.php?id=3762336166623866323763356361653833376266313161666333646136363637267469643d74762669643d313538
TVBS欢乐台,http://api.mytv666.top/api/hk.php?id=6236616334353366303862316264353063653232626338383639306330623231267469643d77696e74763132332669643d3731
TVBS精彩台,http://api.mytv666.top/api/hk.php?id=3830363432383130613863336265653834636434616138323833633234613230267469643d74762669643d313537
TVBS精彩台,http://api.mytv666.top/api/hk.php?id=3965316530663461373932623537373037303234333262373931613232343761267469643d77696e74763132332669643d3732
TVBS闽南频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/XhyG6NWlXFUuLxA75JShFUJC6ZK7Wl7b9ohSUJ8ZFuoQhC5PMv.flv
TVBS新闻台,http://api.mytv666.top/api/hk.php?id=6366366232313066623564653734326233383533656239343137313864626639267469643d77696e74763132332669643d3532
TVBS新闻台,http://api.mytv666.top/api/hk.php?id=6433326131333730353865386539346239623032306533346562653234623365267469643d74762669643d3938
TVBS新闻台,http://api.mytv666.top/api/hk.php?id=6437303339323237356232633666346535353937623264636361613238353236267469643d74762669643d3633
TVBS新闻台,http://s1.an94tv.cfd/tvbs/tvbs/AKTV.m3u8
TVB翡翠台,http://api.mytv666.top/api/hk.php?id=3262653732393564383135306138663636396562333131366461316635356432267469643d77696e74763132332669643d3230
TVB翡翠台,http://api.mytv666.top/api/hk.php?id=6133373062306330636436323766386638333930633734343164306361626637267469643d74762669643d3234
TVB翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
TVB翡翠台,https://live.tvfix.org/live/jade/index.m3u8
TVB明珠台,http://api.mytv666.top/api/hk.php?id=3234333631636531363838373231366566333832376434366264306332626165267469643d74762669643d3237
TVB明珠台,http://api.mytv666.top/api/hk.php?id=3433306230326632313132313965323231616462303239343762396634316466267469643d77696e74763132332669643d3232
TVB明珠台,http://bxtv.3a.ink/api.php?id=mz
TVB千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
TVB无线新闻台,http://api.mytv666.top/api/hk.php?id=3437643561316430306564303532666566613235653961373961303464386662267469643d74762669643d3235
TVB无线新闻台,http://api.mytv666.top/api/hk.php?id=6264343831353330323337393639393931616235303439316135313462356130267469643d77696e74763132332669643d3136
TVB无线新闻台,http://bxtv.3a.ink/api.php?id=wxxw
TVB无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB星河,http://s1.an94tv.cfd/taiwan2/tvb/AKTV.m3u8
TVB星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
TVB亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
